# generated at: 2024-07-07 16:40:32.661251
#
# nodes: 10000
# cloud clusters: 8
# 	max size: 659
# 	min size: 168
# fog clusters: 1163
# 	max size: 10
# 	min size: 2
# nodes with bandwidth specified: 1000
# 	cloud: 300
# 	fog: 700
# total CPU cores: 71620
# total memory GiB: 215592
# total ingress Mbps: 5721412.199373065
# total egress Mbps: 5714472.4528494775
#
# n: 10000
# cloud_size_percentage: 30
# fog_size_percentage: 70
# min_max_cloud_cluster_size_percentage: [1, 10]
# min_max_fog_cluster_size_percentage: [0.03, 0.1]
# cloud_node_types: ['T4', 'T5', 'T6', 'T7', 'T8', 'T9', 'T10']
# fog_node_types: ['T1', 'T2', 'T3', 'T4']
# base_node_single_core_score: 1000
# min_max_cloud_node_single_core_score: [900, 1800]
# min_max_fog_node_single_core_score: [500, 1200]
# min_max_cluster_node_cost_per_core: [100, 300]
# nodes_with_bandwidth_capacity_percentage: 10
# min_max_ingress_bandwidth_per_core: [10, 1500]
# min_max_egress_bandwidth_per_core: [10, 1500]
# min_max_cloud_uptime_percentage_30_days: [97, 100]
# min_max_fog_uptime_percentage_30_days: [90, 100]
# min_max_intra_cluster_latencies: [2, 5]
# min_max_inter_cluster_latencies: [15, 50]
#
hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-b,,8,1593,1000,16,8570.891878976206,4921.854783532007,99.45106487357175,2279.5788429828
1,cloud,region-0,region-0-c,,32,1198,1000,128,6684.398739746129,18011.865036987096,98.01058496545338,9015.95753854468
2,cloud,region-0,region-0-c,,32,1651,1000,128,17020.190964547517,44012.29964369184,97.01157745312817,7386.041743466455
3,cloud,region-0,region-0-c,,16,1689,1000,32,1333.3765587832158,8292.421797561907,99.70271246154721,3710.879015917472
4,cloud,region-0,region-0-c,,32,1422,1000,64,12721.82366487632,41397.584979914354,98.41127322424077,3517.128762429079
5,cloud,region-0,region-0-b,,16,984,1000,32,23936.513738653546,14314.08847327189,99.24906933445611,1791.8861827421133
6,cloud,region-0,region-0-c,,16,1589,1000,64,17189.143492536914,3875.6286235217663,99.99230408227758,4336.907482534734
7,cloud,region-0,region-0-c,,8,1075,1000,32,9513.659561923305,4506.91828521144,98.13537104662252,1138.2292403803942
8,cloud,region-0,region-0-a,,4,1730,1000,16,1730.02560985533,558.125898827162,97.37495074533943,1082.7106173725638
9,cloud,region-0,region-0-a,,8,950,1000,32,4337.793743616477,2496.312670604224,97.74596492279281,1729.7506042285377
10,cloud,region-0,region-0-a,,32,1697,1000,64,5458.356316792964,38154.265041865525,99.75249672285737,8435.681719232205
11,cloud,region-0,region-0-a,,8,1263,1000,32,9521.13637582819,8785.41885835721,97.73976950476805,1444.12393247953
12,cloud,region-0,region-0-b,,32,1664,1000,64,26278.00059463039,39505.65647622879,98.54795453878405,3365.3639940909407
13,cloud,region-0,region-0-c,,32,1392,1000,64,20638.110284071405,41564.812866273336,99.8043992243479,3753.367698477982
14,cloud,region-0,region-0-a,,8,1751,1000,32,10139.003205311694,2013.1664768784365,98.36511224457738,1126.4346561330601
15,cloud,region-0,region-0-b,,32,997,1000,128,42547.51870507021,10304.66352321028,99.82636521940861,7697.286909453089
16,cloud,region-0,region-0-c,,32,990,1000,128,46105.95699308276,362.4134917553695,98.09403483102066,8276.111677601351
17,cloud,region-0,region-0-c,,8,1156,1000,32,6165.792063753437,3448.6036069080565,97.3034681512836,1898.394272054394
18,cloud,region-0,region-0-a,,8,919,1000,16,541.9184928159591,6643.761980647107,98.7730561838694,1684.0587051947487
19,cloud,region-0,region-0-b,,16,1130,1000,64,4203.271088557196,12277.26780303347,98.00615372594478,4568.336902571229
20,cloud,region-0,region-0-c,,32,1044,1000,64,47004.790431062196,17257.310356385326,97.68185465913534,8569.448327378492
21,cloud,region-0,region-0-b,,8,1635,1000,32,5985.037083755051,5788.947427686175,97.73317195731535,2196.5707437503715
22,cloud,region-0,region-0-b,,32,1563,1000,64,46867.84567165497,36601.04234439254,97.95669187948586,4068.7380768537864
23,cloud,region-0,region-0-a,,32,1063,1000,64,20027.748963454233,35774.598292574454,98.83599729114769,6759.600840451315
24,cloud,region-0,region-0-a,,4,1645,1000,16,3904.886723196465,2511.728266934883,97.71487639060527,1176.9862297092645
25,cloud,region-0,region-0-a,,32,1349,1000,128,32792.89616758445,10976.615698909862,98.25433176186132,6498.804799652617
26,cloud,region-0,region-0-c,,8,1045,1000,16,695.277130115529,5864.846137723256,99.82710721010109,922.372052497321
27,cloud,region-0,region-0-b,,32,1354,1000,128,24879.822058744267,28500.725537164646,97.5849468334843,4542.504600443484
28,cloud,region-0,region-0-b,,16,1628,1000,32,11780.028629831388,14217.884144417088,98.28822730023342,3975.5171360618388
29,cloud,region-0,region-0-c,,32,904,1000,64,39130.61323512633,14165.827288886256,99.11041028388576,7222.516164507006
30,cloud,region-0,region-0-b,,8,1147,1000,32,5336.607771273457,1789.9241403900253,99.82603389871412,1828.0090080696884
31,cloud,region-0,region-0-b,,32,1154,1000,128,28518.81747520399,47071.71892589009,97.0278759196023,5841.675133328363
32,cloud,region-0,region-0-a,,8,1707,1000,16,151.32476747075327,7534.36567034859,99.2100525828082,1572.3643116167343
33,cloud,region-0,region-0-b,,32,1752,1000,64,5252.250248309791,35691.11645528568,99.04292930197879,6347.776841493111
34,cloud,region-0,region-0-a,,16,1501,1000,32,22666.168891425703,3342.8687140097986,99.94850702122382,4667.364692408291
35,cloud,region-0,region-0-c,,4,1133,1000,16,3413.725259409975,5105.403196773371,97.79344129531819,511.2096281066493
36,cloud,region-0,region-0-c,,32,1557,1000,128,36540.62258586935,17006.756120993738,97.72119309058891,8720.358201686606
37,cloud,region-0,region-0-b,,32,1104,1000,128,19253.206185046492,33893.55399592394,98.43723486397086,7712.362679768946
38,cloud,region-0,region-0-b,,4,933,1000,16,5102.146110744393,1764.0019307877433,97.28801205103116,752.2288235490757
39,cloud,region-0,region-0-a,,16,1744,1000,64,5133.357465001962,5403.74949064606,97.58216585431157,3184.508461325699
40,cloud,region-0,region-0-c,,32,1736,1000,128,9008.3396145574,19310.397447433592,98.55903249498463,5462.670286890489
41,cloud,region-0,region-0-c,,16,1533,1000,64,20355.66434468875,16735.84706292003,99.94777969238902,1921.157051697573
42,cloud,region-0,region-0-b,,32,1579,1000,128,14413.20802506664,17738.6526055776,97.9986463077332,5632.272795525847
43,cloud,region-0,region-0-b,,32,1500,1000,64,6125.808704925302,43622.37358186415,99.81325107079908,6630.705832304615
44,cloud,region-0,region-0-b,,16,966,1000,32,18591.076285101524,15894.147177429379,98.50308196581624,2697.0673196375483
45,cloud,region-0,region-0-c,,4,1092,1000,16,253.21444293543252,3281.5983932427835,97.75358395085898,1175.816124803362
46,cloud,region-0,region-0-c,,32,1225,1000,128,45942.88301095534,38842.744878172925,97.39292994089867,4752.391859916999
47,cloud,region-0,region-0-b,,32,1021,1000,128,28431.909310632775,21270.55823857207,97.70596105280416,7575.77111787221
