# generated at: 2024-07-10 08:23:20.332759
#
# total pods: 17692
# total workloads: 710
# total requested memory of goal:  68.4%
# total requested CPU of goal: 69.6%
# total requested ingress of goal: 8.2%
# total requested egress of goal: 7.5%
#
# total_cpu_cores: 28346
# total_memory_GB: 85444
# total_ingress: 2090814.2944356147
# total_egress: 2267481.29516293
# target_utilization_percent: 70
# number_of_apps: 23
# min_max_api_composition_workloads_top_level: [4, 7]
# min_max_api_composition_call_depth: [2, 7]
# min_max_api_composition_randomly_connected_workloads_percent: 20
# min_max_messaging_workloads_per_app: [20, 50]
# min_max_messaging_call_depth: [0, 1]
# min_max_replication: [4, 45]
# fog_only_workloads_percentage: 10
# cloud_only_workloads_percentage: 10
# uptime_request_workloads_percentage: 10
# min_max_uptime_request_percentage_30_days: [92, 100]
# bandwidth_request_workloads_percentage: 1
# min_max_ingress_bandwidth_request_per_core: [5, 1500]
# min_max_egress_bandwidth_request_per_core: [5, 1500]
# latency_request_workloads_percentage: 20
# max_latency_request_to_neighbors_percentage: 10
# min_max_latency_request_value: [4, 30]
# min_max_cpu_request_cores: [0.2, 2]
# min_max_memory_request_GB: [0.5, 6]
#
id,app_id,app_type,workload_id,replica_id,layer,cpu_request_cores,memory_request_GiB,ingress_bandwidth_request_Mbps,egress_bandwidth_request_Mbps,uptime_30d_percentage_request
app-api-comp-0-workload-0-replica-0,0,api-composition,0,0,0,1.8,3.6,,,
app-api-comp-0-workload-1-replica-0,0,api-composition,1,0,1,1.7,1.9,,,
app-api-comp-0-workload-2-replica-0,0,api-composition,2,0,2,2.0,2.6,,,
app-api-comp-0-workload-3-replica-0,0,api-composition,3,0,0,1.1,2.8,,,100
app-api-comp-0-workload-4-replica-0,0,api-composition,4,0,1,0.5,1.0,,,
app-api-comp-0-workload-5-replica-0,0,api-composition,5,0,2,1.9,3.7,,,
app-api-comp-0-workload-6-replica-0,0,api-composition,6,0,0,0.4,5.7,,,
app-api-comp-0-workload-7-replica-0,0,api-composition,7,0,1,0.5,1.0,,,
app-api-comp-0-workload-8-replica-0,0,api-composition,8,0,2,1.3,1.5,,,
app-api-comp-0-workload-9-replica-0,0,api-composition,9,0,3,1.0,1.8,,,
app-api-comp-0-workload-10-replica-0,0,api-composition,10,0,4,1.8,5.7,,,
app-api-comp-0-workload-11-replica-0,0,api-composition,11,0,5,1.5,4.3,,,
app-api-comp-0-workload-12-replica-0,0,api-composition,12,0,6,1.9,2.3,,,
app-api-comp-0-workload-13-replica-0,0,api-composition,13,0,0,0.5,3.5,,,
app-api-comp-0-workload-14-replica-0,0,api-composition,14,0,1,0.9,2.0,,,
